category,brand_type,product_count,avg_price,avg_discount,special_pct
Bakery,National Brand,71,5.25,24.2,21.1
Bakery,Own Brand,52,3.82,13.2,1.9
Dairy & Eggs,National Brand,86,4.93,20.4,9.3
Dairy & Eggs,Own Brand,42,4.51,,0.0
Drinks,National Brand,100,8.28,39.3,28.0
Drinks,Own Brand,27,3.17,,0.0
Frozen,National Brand,85,7.06,31.1,14.1
Frozen,Own Brand,42,5.86,,0.0
Fruit & Veg,National Brand,20,3.43,,0.0
Fruit & Veg,Own Brand,103,3.81,18.9,3.9
Health & Wellness,National Brand,95,8.13,23.6,22.1
Health & Wellness,Own Brand,36,6.88,,0.0
Household,National Brand,131,6.62,40.8,13.0
Meat & Seafood,National Brand,50,17.7,28.7,16.0
Meat & Seafood,Own Brand,79,13.72,13.0,12.7
Pantry,National Brand,85,3.36,34.2,21.2
Pantry,Own Brand,44,1.84,,0.0
Snacks,National Brand,106,4.42,35.2,26.4
Snacks,Own Brand,21,1.92,,0.0
