category,week_date,avg_price,avg_regular_price,specials_count,product_count,special_pct
Bakery,2025-06-27,4.42,4.41,0,123,0.0
Bakery,2025-07-04,4.23,4.42,24,123,19.5
Bakery,2025-07-11,4.16,4.42,37,123,30.1
Bakery,2025-07-18,4.26,4.43,26,123,21.1
Bakery,2025-07-25,4.29,4.45,24,123,19.5
Bakery,2025-08-01,4.35,4.47,15,123,12.2
Bakery,2025-08-08,4.29,4.49,24,123,19.5
Bakery,2025-08-15,4.32,4.51,26,123,21.1
Bakery,2025-08-22,4.47,4.54,7,123,5.7
Bakery,2025-08-29,4.48,4.56,7,123,5.7
Bakery,2025-09-05,4.45,4.59,19,123,15.4
Bakery,2025-09-12,4.48,4.62,22,123,17.9
Bakery,2025-09-19,4.52,4.66,16,123,13.0
Bakery,2025-09-26,4.51,4.69,23,123,18.7
Bakery,2025-10-03,4.52,4.72,27,123,22.0
Bakery,2025-10-10,4.63,4.75,19,123,15.4
Bakery,2025-10-17,4.59,4.78,19,123,15.4
Bakery,2025-10-24,4.61,4.81,23,123,18.7
Bakery,2025-10-31,4.71,4.84,17,123,13.8
Bakery,2025-11-07,4.74,4.86,13,123,10.6
Bakery,2025-11-14,4.78,4.89,12,123,9.8
Bakery,2025-11-21,4.83,4.91,11,123,8.9
Bakery,2025-11-28,4.76,4.92,21,123,17.1
Bakery,2025-12-05,4.73,4.94,23,123,18.7
Bakery,2025-12-12,4.85,4.95,12,123,9.8
Bakery,2025-12-19,4.72,4.96,29,123,23.6
Bakery,2025-12-26,4.76,4.97,27,123,22.0
Bakery,2026-01-02,4.83,4.97,15,123,12.2
Bakery,2026-01-09,4.79,4.97,17,123,13.8
Bakery,2026-01-16,4.86,4.96,11,123,8.9
Bakery,2026-01-23,4.82,4.95,15,123,12.2
Bakery,2026-01-30,4.84,4.94,13,123,10.6
Bakery,2026-02-06,4.75,4.93,20,123,16.3
Bakery,2026-02-13,4.66,4.91,29,123,23.6
Bakery,2026-02-20,4.69,4.89,22,123,17.9
Bakery,2026-02-27,4.69,4.87,20,123,16.3
Bakery,2026-03-06,4.67,4.85,22,123,17.9
Bakery,2026-03-13,4.65,4.83,20,123,16.3
Bakery,2026-03-20,4.7,4.8,17,123,13.8
Bakery,2026-03-27,4.64,4.78,22,123,17.9
Bakery,2026-04-03,4.62,4.75,16,123,13.0
Bakery,2026-04-10,4.65,4.72,12,123,9.8
Bakery,2026-04-17,4.52,4.7,25,123,20.3
Bakery,2026-04-24,4.44,4.68,28,123,22.8
Bakery,2026-05-01,4.46,4.66,23,123,18.7
Bakery,2026-05-08,4.5,4.64,17,123,13.8
Bakery,2026-05-15,4.42,4.62,23,123,18.7
Bakery,2026-05-22,4.44,4.6,20,123,16.3
Bakery,2026-05-29,4.45,4.59,17,123,13.8
Bakery,2026-06-05,4.48,4.58,14,123,11.4
Bakery,2026-06-12,4.47,4.58,14,123,11.4
Bakery,2026-06-19,4.45,4.58,18,123,14.6
Dairy & Eggs,2025-06-27,4.4,4.41,0,128,0.0
Dairy & Eggs,2025-07-04,4.31,4.41,21,128,16.4
Dairy & Eggs,2025-07-11,4.21,4.43,28,128,21.9
Dairy & Eggs,2025-07-18,4.3,4.44,17,128,13.3
Dairy & Eggs,2025-07-25,4.35,4.47,20,128,15.6
Dairy & Eggs,2025-08-01,4.28,4.49,28,128,21.9
Dairy & Eggs,2025-08-08,4.36,4.52,21,128,16.4
