brand,category,price,cat_avg,premium_pct
Abbott's Bakery,Bakery,5.366666666666667,4.643089430894309,15.58396077744703
Abe's Bagels,Bakery,5.0,4.643089430894309,7.686919978987908
Ajax,Household,3.5,6.624045801526718,-47.16220109478537
Annalisa,Pantry,1.9,2.83953488372093,-33.08763308763309
Ardmona,Pantry,1.4,2.83953488372093,-50.696150696150696
Armada,Household,2.9678571428571425,6.624045801526718,-55.19570317323127
Arnott's,Snacks,4.024,4.00984251968504,0.35306823760430994
Avocado,Fruit & Veg,6.9,3.7485365853658537,84.07183291040407
Bakery Du Jour,Bakery,3.6,4.643089430894309,-22.465417615128704
Band-Aid,Health & Wellness,3.5,7.783969465648855,-55.03579484162009
Bega,Dairy & Eggs,9.633333333333333,4.79140625,101.05440513071362
Bega,Pantry,6.9,2.83953488372093,142.99754299754304
Bell Farms,Frozen,3.05,6.665748031496062,-54.24369499734215
Bellis,Health & Wellness,1.0,7.783969465648855,-87.15308424046289
Ben's Original,Pantry,2.0,2.83953488372093,-29.565929565929565
Bertocchi,Meat & Seafood,24.25,15.261705426356588,58.89443101241392
Bibigo,Frozen,8.925,6.665748031496062,33.89344988482667
Birds Eye,Frozen,6.714285714285714,6.665748031496062,0.7281655796214993
Blackberry,Fruit & Veg,4.7,3.7485365853658537,25.3822629969419
Blue Ribbon,Frozen,6.5,6.665748031496062,-2.4865631090898273
Bonsoy,Dairy & Eggs,4.5,4.79140625,-6.081852274580133
Bonsoy,Drinks,4.5,7.194803149606299,-37.454855867095674
Bonsoy,Pantry,4.5,2.83953488372093,58.476658476658486
Bosisto's,Health & Wellness,9.6,7.783969465648855,23.330391291556328
Bravo,Fruit & Veg,1.03,3.7485365853658537,-72.52261044960635
Bref,Household,5.625,6.624045801526718,-15.082108902333621
Brioche Gourmet,Bakery,6.5,4.643089430894309,39.992995972684284
Bulla,Dairy & Eggs,5.2125,4.79140625,8.78852111527802
Bulla,Frozen,7.0,6.665748031496062,5.014470497903263
Bundaberg,Drinks,7.7,7.194803149606299,7.021691071858519
Burgen,Bakery,6.0,4.643089430894309,29.22430397478549
Buttercup,Bakery,4.4,4.643089430894309,-5.235510418490633
Cadbury,Bakery,6.9,4.643089430894309,48.607949571003324
Cadbury,Drinks,8.0,7.194803149606299,11.191367347385471
Cadbury,Pantry,8.4,2.83953488372093,195.82309582309585
