category,start_price,end_price,weekly_slope,r_squared,p_value,implied_annual_inflation_%
Dairy & Eggs,4.4,4.42,0.0042,0.051,0.1068,4.71
Meat & Seafood,17.5,17.49,0.0125,0.013,0.4154,4.4
Bakery,4.42,4.45,0.0037,0.096,0.0257,4.27
Frozen,6.27,6.24,0.0048,0.058,0.0865,3.92
Pantry,2.75,2.74,0.002,0.158,0.0035,3.85
Health & Wellness,7.55,7.64,0.0051,0.134,0.0076,3.51
Fruit & Veg,4.6,4.63,0.0022,0.003,0.7241,3.1
Snacks,4.25,4.2,0.0021,0.031,0.2106,2.79
Household,6.49,6.37,0.0028,0.133,0.0079,2.29
Drinks,7.77,7.52,0.0022,0.007,0.5668,1.67
