category,count,mean,median,std,min,max,q25,q75,iqr,cv_%
Bakery,123,4.64,4.5,1.48,2.2,9.9,3.5,5.55,2.05,31.9
Dairy & Eggs,128,4.79,3.9,3.12,0.8,25.0,2.68,6.12,3.44,65.1
Drinks,127,7.19,4.0,7.52,0.8,39.5,2.42,8.65,6.23,104.6
Frozen,127,6.67,5.8,3.09,1.0,14.0,4.2,9.5,5.3,46.3
Fruit & Veg,123,3.75,3.0,3.79,0.14,33.0,1.31,4.95,3.64,101.1
Health & Wellness,131,7.78,5.5,7.1,1.0,36.0,4.0,7.5,3.5,91.3
Household,131,6.62,4.5,5.56,0.8,26.0,2.6,9.0,6.4,84.0
Meat & Seafood,129,15.26,12.5,8.3,1.0,39.6,9.43,19.0,9.57,54.4
Pantry,129,2.84,2.2,1.97,0.55,12.5,1.7,3.3,1.5999999999999999,69.4
Snacks,127,4.01,3.8,2.13,0.8,9.0,2.3,5.0,2.7,53.1
